Tên sản phẩm,Giá bán,Bộ vi xử lý - Công nghệ CPU,Bộ vi xử lý - Số hiệu CPU,Bộ vi xử lý - Số nhân,Bộ vi xử lý - Số luồng,Bộ vi xử lý - Xung nhịp cơ bản,Bộ vi xử lý - Xung nhịp tối đa,Bộ vi xử lý - Bộ nhớ đệm,Đồ họa và Âm thanh - Card on-board,Đồ họa và Âm thanh - Card đồ hoạ rời,"Bộ nhớ RAM, Ổ cứng - RAM","Bộ nhớ RAM, Ổ cứng - Loại RAM","Bộ nhớ RAM, Ổ cứng - Tốc độ Bus","Bộ nhớ RAM, Ổ cứng - Số khe RAM trống","Bộ nhớ RAM, Ổ cứng - Khả năng nâng cấp RAM","Bộ nhớ RAM, Ổ cứng - Ổ cứng mặc định","Bộ nhớ RAM, Ổ cứng - Khả năng nâng cấp ổ cứng",Màn hình - Số lượng màn hình,Màn hình - Kích thước màn hình,Màn hình - Độ phân giải,Màn hình - Loại tấm nền,Màn hình - Công nghệ màn hình,Màn hình - Hỗ trợ cảm ứng,Màn hình - Tần số quét,Bàn phím & Touchpad - Bàn phím,Bàn phím & Touchpad - Đèn nền bàn phím,Bàn phím & Touchpad - Chuột / Touchpad,Cổng kết nối & tính năng mở rộng - Các cổng giao tiếp,Cổng kết nối & tính năng mở rộng - Kết nối không dây,Phần mềm - Hệ điều hành,Kích thước & trọng lượng - Kích thước,Kích thước & trọng lượng - Trọng lượng,Pin và Sạc - Dung lượng pin,Pin và Sạc - Bộ sạc theo máy,Thông tin khác - Thời điểm ra mắt,Thông tin khác - Chất liệu,Camera - Camera,Đồ họa và Âm thanh - Công nghệ âm thanh,Phần mềm - Phần mềm sẵn có,Thông số kỹ thuật - Keycap (bàn phím),Kết nối & Tương thích - Cổng giao tiếp,Màn hình - Chuẩn màn hình,Thông số kỹ thuật - Loại Switch,Thông số kỹ thuật - Chất liệu,Tiện ích - Tiện ích,Thông số kỹ thuật - Đèn LED
"Laptop Dell Inspiron 15 3520 - N5I5003W1 (i5-1235U/16GB/512GB/15.6""FHD/Win 11 Home/OfficeHome24+OS365/Black) - Chính hãng","13,990,000 ₫",Intel Core i5,i5 - 1235U,10,12,1.3 GHz,4.4 GHz,12MB,Intel Iris Xe Graphics,,16GB,DDR4,2666Mhz,Không,"(2x SO-DIMM socket, up to 32GB SDRAM)",512GB SSD,Có khe M.2 trống hoặc hỗ trợ thêm HDD 2.5 inch,1,15.6 inch,1920×1080,WVA,"Anti-glare, ComfortView (giảm ánh sáng xanh)",Không,120Hz,Full-size,Không có đèn nền,Precision touchpad,"2x USB 3.2 Gen 1 Type-A
1x USB 2.0 Type-A
1x HDMI 1.4 (hỗ trợ tối đa 1920x1080 @60Hz)
1x Combo jack tai nghe/mic 3.5mm
1x Power Jack","Wi-Fi 6 (802.11ax), Bluetooth 5.0",Windows 11 Home,358.50 x 235.56 x 16.96 - 21.07 mm,1.65 kg,"41WHrs, 3-cell Li-ion",65W AC Adapter,2022,Nhựa cao cấp,Webcam HD 720p,Waves MaxxAudio Pro,"Dell SupportAssist, Dell Power Manager",,,FHD,,,,
Laptop Dell Inspiron 16 5620-71003903 (i5-1235U/8GB/512GB/Intel Iris Xe/16'' FHD+/Windows 11 + Office) - Chính hãng,"17,490,000 ₫",Intel Core i5,i5 - 1235U,10,12,3.3 GHz,4.4 GHz,12MB,Intel Iris Xe Graphics,GPU tích hợp,8GB,DDR4,3200MHz,1 khe,16GB,512GB SSD,Có thể nâng cấp SSD mặc định lên dung lượng cao hơn,1,16 inch,1920x1200,WVA,Anti-Glare Non-Touch 250nits WVA Display with ComfortView Support,Không,60Hz,Bàn phím tiêu chuẩn,1 màu - Trắng,Multi-touch touchpad,"2 USB 3.2 Gen 1 Type-A ports
1 USB 3.2 Gen 2x1 Type-C port with Power Delivery and DisplayPort
1 Audio jack
1 HDMI 1.4 port
1 Power-adapter port","Wi-Fi 6E
Bluetooth v5.2",Windows 11 Home SL,"Cao: 15.67 mm - 18.3 mm (0.62 in. - 0.72 in.)
Dài: 356.78 mm (14.05 in.)
Rộng: 251.9 mm (9.92 in.)",1.87kg,54 Wh,,2022,Nắp lưng và chiếu nghỉ tay bằng kim loại,"1080p at 30 fps FHD camera
Dual-array microphones",Waves MaxxAudio Pro,Office Home & Student vĩnh viễn,,DDR4,,,,,
"Laptop MSI Modern 15 B12MO-628VN (i5-1235U/16GB/512GB/15.6"" FHD/Windows 11) - Chính hãng","10,990,000 ₫",Intel Core i5,i5 - 1235U,10,12,1.30 GHz,Turbo Boost 4.4 GHz,12MB,Intel Iris Xe Graphics,GPU tích hợp,16GB,DDR4,3200 MHz,None,Không hỗ trợ nâng cấp,512GB SSD,Nâng cấp SSD lên dung lượng cao hơn,1,15.6 inch,1920x1080,IPS,IPS 45% NTSC,None,60Hz,"Backlight Keyboard (Single-Color, White)",1 màu - Trắng,Multi-touch touchpad,"1x Type-C (USB3.2 Gen2 / DP) with PD charging
1x Type-A USB3.2 Gen2
2x Type-A USB2.0
1x Micro SD Card Reader
1x HDMI™ (4K @ 30Hz)","Wi-Fi 6
Bluetooth v5.2",Windows 11,359 x 241 x 19.9 mm (Dài x Rộng x Dày),1.7kg,39.3 Wh,,2023,Nhựa,HD Webcam (720p Webcam),2 loa 2W,,,DDR4,,,,,
Laptop Acer Aspire 3 A315-58-589K i5-1135G7/8GB/256GB/15.6FHD/W11H/Safari Gold (NX.AM0SV.008) - Chính Hãng,"10,990,000 ₫",Intel Core i5,i5 - 1135G7,4,8,2.4Ghz,4.2Ghz,8MB,Intel Iris Xe Graphics,GPU tích hợp,8GB,DDR4,2400Mhz,Không,12GB,256GB SSD,nâng cấp tối đa 2TB HDD và 1TBSSD PCIe NVMe,1,15.6 inch,1920x1080,LED TFT,Acer ComfyView LED LCD,None,60Hz,Bàn phím tiêu chuẩn,Không có đèn nền,Multi-touch touchpad,"1 x USB 2.0 port
2 x USB 3.2 Gen 1 ports
1 x HDMI®2.0 port with HDCP support","Wireless
Bluetooth v5.0",Windows 11 Home,363.4 (W) x 238.4 (D) x 19.9 (H) mm,1.7kg,36.7Wh,,2021,Vỏ nhựa,HD webcam,Stereo speakers,,,DDR4 4GB onboard + 4GB khe rời,,,,,
"Laptop Dell Inspiron 15 3530-71014840 (i5-1335U/8GB/512GB/MX550/15.6"" FHD/Windows 11 + Office H&S) - Chính hãng","17,490,000 ₫",Intel Core i5,i5 - 1335U,10,12,1.30 GHz,Turbo Boost 4.6 GHz,12MB,Card tích hợp - Intel Iris Xe Graphics,MX550,8GB,DDR4,3200 MHz,Không,16GB,512GB SSD,"(Có thể tháo ra, lắp thanh khác tối đa 2 TB (2280) / 1 TB (2230))Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng (nâng cấp tối đa 1 TB)",1,15.6 inch,1920x1080,WVA,"Chống chói Anti Glare
LED Backlit
250 nits",Không,120Hz,Bàn phím tiêu chuẩn,Đơn sắc - Màu trắng,Multi-touch touchpad,"1 x USB Type-C 3.2 (hỗ trợ Power Delivery và DisplayPort)
1 x USB 2.0
Jack tai nghe 3.5 mm
1 x USB 3.2
1 x HDMI",Wi-Fi 6 Bluetooth 5.3,Windows 11 Home,358.5 x 235.56 x 18.99 mm,1.63kg,"3-cell Li-ion, 41 Wh",,2023,Vỏ nhựa,720p 30 fps HD camera,Realtek Audio,Office Home&Student,2GB,DDR4,,,,,
"Máy tính xách tay Asus Zenbook 14X OLED UM5401QA-KN053W (R5-5600H/8GB/512GB/AMD Radeon /14"" OLED 2.8K Touch/Win11/Jade Black) - Chính hãng","16,990,000 ₫",AMD Ryzen 5,R5 - 5600H,,,,,,,GPU tích hợp,8GB,LPDDR4X,,None,Không hỗ trợ nâng cấp,512GB SSD,,,14 inch,2880x1800,OLED,,,90Hz,Bàn phím tiêu chuẩn,,Multi-touch touchpad,,,,,1.4kg,,,,,,,,,,,,,,
"Laptop HP 15-FD0235TU (9Q970PA) (i5-1334U/16GB/512GB/15.6"" FHD/Win11/ Bạc) - Chính hãng","15,990,000 ₫",Intel Core i5,i5 - 1334U,10,12,,4.6 GHz,12 MB,Card tích hợp - Intel Iris Xe Graphics,,16GB,DDR4,3200 MHz,None,Không hỗ trợ nâng cấp,512GB SSD,,1,15.6 inch,1920×1080,,"Micro-edge, anti-glare, 250 nits, 45% NTSC",None,,Full-size có phím số,,Multi-touch touchpad,"1 USB Type-C 5Gbps signaling rate (supports data transfer only and does not support charging or external monitors);
2 USB Type-A 5Gbps signaling rate
1 AC smart pin
1 HDMI 1.4b
1 headphone/microphone combo","Wi-Fi 6
Bluetooth v5.3",Windows 11 Home,,1.59 kg,"3-cell, 41 Wh",,,,HP True Vision 720p HD,,,,,,,,,
Laptop ASUS ExpertBook B1 B1402CBA-NK3507 (i7-1255U/8GB/512GB/14 inch FHD/No OS/Đen) - Chính hãng,"12,990,000 ₫",Intel Core i7,i7 - 1255U,10,12,1.7 Ghz,4.7 Ghz,12 MB Intel® Smart Cache,Intel® UHD Graphics,Intel® UHD Graphics,8GB,DDR4,,1 khe,40GB,512GB SSD,"1 slot, support M.2 2280 PCIe 4.0x4",1,14 inch,1920 x 1080,TN,"Màn hình chống chói, Đèn nền LED, 220nits, NTSC: 45%, Tỷ lệ màn hình trên kích thước: 81%",None,60Hz,"Bàn phím dạng Chiclet, Hành trình phím 1,4mm, Bàn phím chống tràn đổ",,Multi-touch touchpad,"1x USB 2.0 Type-A
1x USB 3.2 Thế hệ 1 Type-A
1x USB 3.2 Gen 1 Type-C hỗ trợ sạc chuẩn Power Delivery
1x USB 3.2 thế hệ 2 Type-C hỗ trợ màn hình / sạc nhanh
1x HDMI 1.4, lên đến 1920x1080/60Hz
1 Jack cắm âm thanh combo 3.5mm
1x RJ45 Gigabit Ethernet","Wi-Fi 6
Bluetooth 5.2",Non OS,326.9 x 214.5 x 19.9 mm,1.49 kg,"42WHrs, 3S1P, 3-cell Li-ion","TYPE-C, Bộ nguồn 65W AC, Đầu ra: 20V DC, 3.25A, 65W, Đầu vào: 100~240V AC 50/60 Hz phổ dụng",,Nhựa,Camera HD 720p với tấm che webcam vật lý,"Audio by Dirac
Built-in speaker
Built-in array microphone",,,,,,,,
"Laptop MSI Modern 14 C13M-458VN (i5-1335U/8GB/512GB/14"" FHD/Windows 11) - Chính hãng","10,990,000 ₫",Intel Core i5,i5 - 1335U,10,12,3.4Ghz,4.60 GHz,12 MB,Intel Iris Xe,GPU tích hợp,8GB,DDR4,3200 MHz,None,Không hỗ trợ nâng cấp,512GB SSD,None,1,14 inch,1920x1080,IPS,"IPS, 45% NTSC",None,60Hz,Chiclet Keyboard,Single LED - Trắng,Multi-touch touchpad,"1 Card reader
1 HDMI
1 Jack 3.5 mm
1 Type C
2 USB","Bluetooth v5.2
Wifi 6 AX201",Windows 11,320 x 223 x 19.5 mm (Dài x Rộng x Dày),1.4kg,39WHrs Li-ion Battery,,2023,Nhựa,HD Webcam (720p Webcam),2 loa x Jack Audio™ 3.5mm,,,DDR4,,,,,
Laptop ASUS VivoBook 14X A1403ZA-KM161W (i5-12500H/8GB/256GB PCIE/14.0 WQXGA OLED/WIN11) - Chính hãng,"14,990,000 ₫",Intel Core i5,i5 - 12500H,12,16,3.3Ghz,up to 4.5 GHz,18MB,"Intel Iris Xe Graphics (with dual channel memory)
Intel® UHD Graphics",GPU tích hợp,8GB,DDR4,3200MHz,1 khe,nâng cấp tối đa 16GB,256GB SSD,"(1 slot, support M.2 2280 PCIe 3.0x4)",1,14 inch,2880x1800,OLED,"90Hz 0.2ms, 600nits, 100% DCI-P3, Glossy display, Screen-to-body ratio: 86%",None,90Hz,Backlit Chiclet Keyboard,1 màu - Trắng,Multi-touch touchpad,"1x USB 3.2 Gen 1 Type-C
2x USB 3.2 Gen 1 Type-A
1x USB 2.0 Type-A
1x HDMI 1.4
1x 3.5mm Combo Audio Jack
1x DC-in",Wi-Fi 6,Windows 11 Home,31.71 x 22.20 x 1.99 cm,1.6kg,"70WHrs, 3S1P, 3-cell Li-ion",,2022,Vỏ kim loại,HD 720p with Privacy Shutter,SonicMaster,,,DDR4,,,,,
Laptop ASUS Vivobook GO 15 E1504FA-NJ454W (R5-7520U/16GB/512GB PCIE/15.6 FHD/WIN11/Bạc) - Chính hãng,"11,590,000 ₫",AMD Ryzen 5,7520U,4,8,2.80 GHz,4.3 GHz,4 MB,AMD Radeon Graphics,,16GB,LPDDR5,5500 MHz,,Không hỗ trợ nâng cấp,512GB SSD,,1,15.6 inch,1920×1080,TN,"Tấm nền TN
Chống chói Anti Glare
250 nits",Không,60 Hz,,Không có,,"USB Type-C
1 x USB 2.0
Jack tai nghe 3.5 mm
1 x USB 3.2
HDMI","Wi-Fi 6E
Bluetooth v5.3",Windows 11,360.3 x 232.5 x 17.9 mm,1.63kg,"3-cell Li-ion, 42 Wh",45W,,Nhựa,720p HD với màn trập camera,SonicMaster audio,,,,,,,,
"Laptop Dell Inspiron 16 5630 (71020244) - (i5-1335U/8GB/512GB/16"" FHD/Windows 11 + Office) - Chính hãng","19,990,000 ₫",Intel Core i5,i5-1335U,10,12,1.30 GHz,4.6 GHz,12MB,Intel Iris Xe Graphics,GPU tích hợp,8GB,LPDDR5,4800 MHz,None,Không hỗ trợ nâng cấp,512GB SSD,Có thể nâng cấp SSD mặc định lên dung lượng cao hơn,1,16 inch,1920x1200,WVA,Độ sáng tối đa 300 nits,Không,60Hz,Bàn phím tiêu chuẩn,Có,Multi-touch touchpad,"1 HDMI 1.4
2 USB 3.2 Gen 1 Type-A
1 Universal Audio Jack
1 Thunderbolt 4.0 (DP/PowerDelivery)
1 Khe thẻ SD","Wi-Fi 6E
Bluetooth",Windows 11 Home,356.78 x 251.70 x 18.20 mm,1.94kg,54 Wh,,2023,Nắp lưng và chiếu nghỉ tay bằng kim loại,1080p 30 fps FHD,Realtek Audio,Office Home & Student 2021 vĩnh viễn,,LPDDR5,,,,,
"Laptop Lenovo LOQ 15IRH8 - 82XV000PVN (i5-13420H/8GB/512GB/RTX 4050/15.6"" FHD IPS 144Hz/Windows 11) - Chính hãng","21,990,000 ₫",Intel Core i5,i5 - 13420H,8,12,"P-core 2.1 GHz, E-core 1.5 GHz","P-core 4.6GHz, E-core 3.4GHz",12MB,,RTX 4050,8GB,DDR5,5200 MHz,1 khe,32GB,512GB SSD,Nâng cấp SSD tối đa 1TB,1,15.6 inch,1920x1080,IPS,"Độ sáng tối đa 350nits
Màn hình chống chói
Độ phủ màu 45% NTSC
G-SYNC",None,144Hz,Bàn phím tiêu chuẩn,4-Zone RGB Backlit,Multi-touch touchpad,"1x Ethernet (RJ-45)
1x HDMI 2.1, hỗ trợ tối đa 8K/60Hz
1x Cổng âm thanh (3.5mm)
1x Cổng nguồn
1x USB 3.2 Gen 1
1x USB-C 3.2 Gen 2 (hỗ trợ truyền dữ liệu, Power Delivery 140W và DisplayPort 1.4)
2x USB 3.2 Gen 2","Wi-Fi 6
Bluetooth v5.1",Windows 11 Home,359.6 x 264.8 x 22.1-25.2 mm,2.4kg,60Wh,170W,,"Hợp kim nhựa PC + ABS dẻo dai, chống va đập","FHD 1080p, có màn che vật lý","Loa kép, 2W x2, được tối ưu bởi Nahimic Gaming Audio",,6GB GDDR6,DDR5,,,,,
Laptop Dell Inspiron 3520 N5I5057W1 (i5 1235U/16GB/512GB/15.6 inch FHD/ Win 11/Office24 +365 basic 1 năm/ Silver) - Chính hãng,"14,990,000 ₫",Intel Core i5,i5 - 1235U,10,12,1.3 GHz,4.4 GHz,,Intel Iris Xe Graphics,,16 GB,DDR4,2666 MHz,None,Không hỗ trợ nâng cấp,512GB SSD,"(Có thể tháo ra, lắp thanh khác tối đa 2 TB)
Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng (nâng cấp tối đa 1 TB)
Màn hình",1,15.6 inch,1920 x 1080,IPS LCD,"Chống chói Anti Glare
LED Backlit
250 nits
WVA",None,120 Hz,Full-size,Không có đèn nền,Multi-touch touchpad,"HDMI
1 x USB 2.0
2 x USB 3.2
1 x Headphone/microphone combo
1x SD card","Bluetooth 5.0
Wi-Fi 802.11 a/b/g/n/ac",Windows 11 Home SL,358.5 mm - 235.56 mm - 18.99 mm,,"3-cell, 41Wh",,,Vỏ nhựa,HD webcam,Realtek Audio,Office Home & Student 2024 vĩnh viễn + Microsoft 365 Basic,,,FHD,,,,
Laptop ASUS Vivobook S 14 OLED S5406SA-PP060WS (U5-226V/16GB/512GB/14 inch 3K OLED/Win 11+Office/Xanh) - Chính hãng,"22,990,000 ₫",Intel Core Ultra 5,U5 - 226V,8,8,,4.5 GHz,8 MB,Intel Arc Graphics,,16GB,LPDDR5X,,,,512GB SSD,,1,14 inch,,OLED,,,120Hz,"Backlit Chiclet Keyboard 1-Zone RGB
With Copilot key",,Multi-touch touchpad,"2x USB 3.2 Gen 1 Type-A (data speed up to 5Gbps)
2x Thunderbolt™ 4 with support for display / power delivery (data speed up to 40Gbps)
1x HDMI 2.1 TMDS
1x 3.5mm Combo Audio Jack
Micro SD card reader","Wi-Fi 7(802.11be) (Tri-band)2 x 2
Bluetooth 5.4 Wireless Card",Windows 11,310.5 x 221.9 x 13.9mm,1.3kg,"75WHrs, 4S1P, 4-cell Li-ion",65W,,,Camera FHD có chức năng IR hỗ trợ Windows Hello; Có màn trập riêng tư,"Công nghệ Smart Amp
Loa tích hợp
Micrô tích hợp
Micrô mảng tích hợp
Harman/Kardon",Office Home & Student 2021,,,3K,,,,
Laptop Asus ExpertBook B1 B1402CVA-NK1280 (i7-1355U/8GB/1TB/14.0inch FHD/No OS/Đen) - Chính hãng,"13,990,000 ₫",Intel Core i7,i7 - 1355U,10,12,1.7 Ghz,5 GHz,12 MB Intel® Smart Cache,Intel® UHD Graphics,Intel® UHD Graphics,8GB,DDR4,,1 khe,40GB,1TB SSD,,1,14 inch,1920 x 1080,TN,"Màn hình chống chói, Đèn nền LED, 220nits, NTSC: 45%, Tỷ lệ màn hình trên kích thước: 81%",None,60Hz,Backlit Chiclet Keyboard,,Multi-touch touchpad,"1x USB 2.0 Type-A
1x USB 3.2 Gen 1 Type-A
1x USB 3.2 Gen 1 Type-C support power delivery
1x USB 3.2 Gen 2 Type-C support display / power delivery
1x HDMI 1.4
1x 3.5mm Combo Audio Jack
1x RJ45 Gigabit Ethernet
N/A","Wi-Fi 6
Bluetooth 5.2",No OS,326.9 x 214.5 x 19.9 mm,1.46 kg,"42WHrs, 3S1P, 3-cell Li-ion","TYPE-C, 65W AC Adapter, Output: 20V DC, 3.25A, 65W, Input: 100~240V AC 50/60Hz universal",,Nhựa,"720p HD camera with IR function to support Windows Hello
With privacy shutter","Audio by Dirac
Built-in speaker
Built-in array microphone",,,,,,,,
Laptop Asus Zenbook S 13 OLED UX5304MA-NQ117W (U7-155U/32GB/1TB/13.3 3K OLED/Win11/Xám)- Chính hãng,"37,990,000 ₫",Intel Core Ultra 7,U7 - 155H,16,22,3.8 GHz,4.3GHz,24 MB,Đồ họa Intel® Arc™,GPU tích hợp,32GB,LPDDR5X,5200MHz,None,Không hỗ trợ nâng cấp,1TB SSD,"(Có thể tháo ra, lắp thanh khác tối đa 2 TB)",1,13.3 inch,2880 x 1800,OLED,,None,60Hz,Bàn phím tiêu chuẩn,Có đèn nền,Multi-touch touchpad,"1 x USB 3.2
2 x Thunderbolt 4
1 x micro SD card slot
1 x Audio combo","Wifi 6
Bluetooth v5.3",Windows 11 Home,29.62 x 21.63 x 1.09 ~ 1.18 cm,1 kg,4 cell 63 Wh,,2024,,FHD Camera,Harman/Kardon,,,,,,,,
Laptop Lenovo Ideapad Slim 3 15ABR8 (82XM00MDVN) (R5-5625U/16GB/512GB/15.6 FHD/Win 11/Xám) - Chính hãng,"12,290,000 ₫",AMD Ryzen 5,R5 - 5625U,6,12,2.3 Ghz,4.3 Ghz,16MB,AMD Radeon™ Graphics,,16GB,DDR4,3200 MHz,Không,Không hỗ trợ nâng cấp,512GB SSD,"One drive, up to 1TB M.2 2242 SSD",1,15.6 inch,1920 x 1080,IPS,300nits Anti-glare,None,,Bàn phím Non-backlit,Có đèn nền,Multi-touch touchpad,"2x USB 3.2 Gen 1
1x USB-C® 3.2 Gen 1 (support data transfer, Power Delivery and DisplayPort™ 1.2)
1x HDMI® 1.4
1x Headphone / microphone combo jack (3.5mm)
1x Card reader
1x Power connector","Wi-Fi® 6, 802.11ax 2x2 + BT5.2",Windows® 11 Home Single Language,359.3 x 235 x 17.9 mm,1.62 kg,47Wh,65W Round Tip (3-pin),11/2024,PC-ABS,HD 720p with Privacy Shutter,"High Definition (HD) Audio
User-facing stereo speakers, 1.5W x2, optimized with Dolby Audio™",,,,FHD,,,,
"Laptop ASUS TUF Gaming F15 FX507ZC4-HN074W (i5-12500H/8GB/512GB/RTX 3050/15.6"" FHD 144Hz/Windows 11) - Chính hãng","18,990,000 ₫",Intel Core i5,i5 - 12500H,12,16,2.50 GHz,4.5 GHz,18 MB,Card tích hợp - Intel Iris Xe Graphics,RTX 3050,8GB,DDR4,3200 MHz,1 khe,32GB,512GB SSD,"SSD có thể tháo ra, lắp thanh khác tối đa 1 TB. Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB)",1,15.6 inch,1920x1080,IPS,"Chống chói
Adaptive-Sync",None,144Hz,"Bàn phím tiêu chuẩn, Backlit Chiclet Keyboard",Bàn phím LED RGB 1 vùng,Multi-touch touchpad,"1x RJ45 LAN port
1x Thunderbolt™ 4 support DisplayPort™
1x USB 3.2 Gen 2 Type-C support DisplayPort™ / G-SYNC
2x USB 3.2 Gen 1 Type-A","Wi-Fi 6
Bluetooth v5.2",Windows 11 Home,35.4 x 25.1 x 2.24 ~ 2.49 cm,2.20kg,"56WHrs, 4S1P, 4-cell Li-ion",,2023,Vỏ nhựa - nắp lưng bằng kim loại,HD webcam,"Công nghệ khử tiếng ồn AI
Âm thanh Dolby Atmos
Đạt chuẩn Hi-Res",,4GB,DDR4,,,,,
"Laptop HP Pavilion 15-eg2063TX 7C0Q2PA, i5-1235U/8GB/512GB/MX550/15.6FHD/WIN11/BẠC - Chính hãng","15,990,000 ₫",Intel Core i5,i5 - 1235U,10,12,1.3Ghz,4.4 GHz,12 MB,NVIDIA Geforce MX550,MX550,8GB,DDR4,3200 MHz,1 khe,16 GB,512GB SSD,Đang cập nhật,1,15.6 inch,1920x1080,IPS,FHD,None,60Hz,Bàn phím tiêu chuẩn,Không có đèn nền,Multi-touch touchpad,"1 x HDMI 2.0
1 x Type-C tốc độ truyền dữ liệu 10Gbps
2 x Type-A tốc độ truyền dữ liệu 5Gbps
1 x headphone/microphone combo","Wifi 6
Bluetooth v5.2",Windows 11 Home Single Language,36.02 x 23.4 x 1.79 cm,1.7kg,3 cell 41 Wh,,2022,Vỏ kim loại,HP TrueVision Webcam,2 loa,,,,,,,,
"Laptop HUAWEI MateBook D 15 AMD (R7-5700U/8GB/512GB/15.6"" FHD/Windows 11) - Chính hãng","9,790,000 ₫",AMD Ryzen 7,R7 - 5700U,8,16,1.80 GHz,4.30 GHz,8 MB,AMD Radeon Graphics,GPU tích hợp,8GB,DDR4,Hãng không công bố,None,Không hỗ trợ nâng cấp,512GB SSD,"(Có thể tháo ra, lắp thanh khác tối đa 1 TB)",1,15.6 inch,1920x1080,IPS,"IPS Truelife LED-Backlit Narrow
Anti-Glare with 45% NTSC
Độ sáng 250 nits
Độ phủ màu 45% NTSC
Tỷ lệ màn hình 16:09
Độ tương phản 800:1",None,60Hz,Backlit Chiclet Keyboard,Không có đèn nền,Multi-touch touchpad,"USB 3.2 Thế hệ 1 × 1
USB 2.0 × 2
USB-C × 1
HDMI × 1
Jack cắm tai nghe và micrô 3.5 mm tích hợp 2 trong 1 × 1","Wi-Fi
Bluetooth v5.0",Windows 11 Home,"357,8 mm x 229,9 mm x 16,9 mm",1.56kg,56 Wh,Bộ chuyển đổi HUAWEI USB-C 65 W,2021,Kim loại,720P HD Recessed Camera,"2 loa, 2 microphones",,,DDR4,,,,"inchIEEE 802.11 a/b/g/n/ac/ax,160 MHz
2.4 GHz và 5 GHz
2 x 2 MIMO
WPA/WPA2/WPA3 inch","inchLoa x 2 (2 W)
Micrô x 2 inch"
"Laptop Asus Gaming Vivobook 16X K3605ZU-RP296W (i5-12500H/16GB/512GB/RTX4050/16"" WUXGA/Win11/Đen) - Chính hãng","20,790,000 ₫",Intel Core i5,i5 - 12500H,12,16,2.5 GHz,4.5 GHz,18MB,Intel UHD Graphics,RTX 4050,16GB,DDR4,3200MHz,None,Đang cập nhật,512GB SSD,,1,16 inch,1920x1200,IPS,"Tỷ lệ 16:10, IPS-level Panel, 300nits, 45% NTSC color gamut, Anti-glare display, TÜV Rheinland-certified",None,144Hz,Backlit Chiclet Keyboard with Num-key,,Multi-touch touchpad,"1x USB 3.2 Gen 1 Type-C support power delivery
2x USB 3.2 Gen 1 Type-A
1x HDMI 2.1 TMDS
1x 3.5mm Combo Audio Jack
1x DC-in
SD 4.0 card reader","Wi-Fi 6E
Bluetooth 5.3",Windows 11 Home,358.6 x 249.1 x 18.9 mm,1.80 kg,4 Cells 75WHrs,,,"LCD cover (Aluminum), Top case (Plastic)",720p HD camera ; With privacy shutter,SonicMaster,,,,,,,,
"Laptop ASUS TUF Gaming F15 FX507VV-LP157W (i7-13620H/16GB/512GB/RTX 4060/15.6"" FHD/Windows 11) - Chính hãng","29,990,000 ₫",Intel Core i7,i7 - 13620H,10,16,3.6GHz,4.9GHz,24MB,NVIDIA GeForce RTX 4060,RTX 4060,16GB,DDR4,4800 MHz,Không,32GB,512GB SSD,"2x SSD M2 PCIe (1 khe lắp sẵn 512GB)
Khách hàng có thể thay thế/lắp thêm theo nhu cầu, tối đa 2TB / 2 khe.",1,15.6 inch,1920x1080,IPS,"Màn hình chống chói
sRGB:100%
Adobe:75.35%
G-Sync
MUX Switch + NVIDIA® Advanced Optimus",None,144Hz,Bàn phím tiêu chuẩn,Đèn nền RGB,Multi-touch touchpad,"1 giắc cắm âm thanh combo 3,5mm
1x HDMI 2.1 FRL
2 x USB 3.2 Thế hệ 1 Loại A
1x USB 3.2 Thế hệ 2 Loại C hỗ trợ DisplayPort / power delivery / G-SYNC
1 x cổng RJ45 LAN
1 x Thunderbolt 4 hỗ trợ DisplayPort","Wi-Fi 6
Bluetooth v5.2",Windows 11 Home,35.4 x 25.1 x 2.24 ~ 2.49 cm,2.20kg,90WHrs,"ø6.0, Bộ nguồn 240W AC, Đầu ra: 20V DC, 12A, 240W, Đầu vào: 100~240C AC 50/60Hz phổ quát",2023,Vỏ nhựa - nắp lưng bằng kim loại,Máy ảnh HD 720P,"Âm thanh của Dolby Atmos
AI mic khử tiếng ồn
Chứng nhận Màn hình Độ phân giải cao
Micrô array tích hợp
Hệ thống 2 loa",,8GB GDDR6,DDR5,,,,,
Laptop HP Pavilion 15-EG3092TU (8C5L3PA) (i7-1355U/8GB/512GB/15.6 inch FHD/Win11/ Gold) - Chính hãng,"20,490,000 ₫",Intel Core i7,i7 - 1355U,10,12,,5.0 GHz,12 MB,Card tích hợp - Intel Iris Xe Graphics,,8GB,DDR4,3200 MHz,None,Đang cập nhật,512GB SSD,,1,15.6 inch,1920x1080,IPS,"Micro-edge, anti-glare, 250 nits, 45% NTSC",None,,Full-size có phím số,,Multi-touch touchpad,"1 USB Type-C® 10Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4, HP Sleep and Charge)
2 USB Type-A 5Gbps signaling rate
1 HDMI 2.1
1 headphone/microphone combo","Bluetooth 5.3
Wi-Fi 6",Windows 11 Home,360 x 234 x 179 mm,1.74 kg,"3-cell, 41 Wh",,,,HP Wide Vision 720p HD,,,,,,,,,
