Tên sản phẩm,Giá bán,Thương hiệu,Bảo hành,Mô tả bảo hành,CPU,NPU,Chip đồ họa,Màn hình,Webcam,Ram,Lưu trữ,Cổng kết nối,Kết nối không dây,Bàn phím,Hệ điều hành,Kích thước,Pin,Khối lượng,Bảo mật,Đèn LED trên máy,Trong hộp có gì,Series model,Tên,Part-number,Màu sắc,Nhu cầu,Âm thanh,Chất liệu,Dung lượng RAM,Dung lượng SSD,"Kích thước, khối lượng",Công suất pin,Cổng HDMI,Tính năng đặc biệt
Laptop Asus ROG Zephyrus G16 GU605CR-QR137W,82.990.000₫,Asus,24 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ Ultra 9-285H ( 2.5 GHz - 5.4GHz / 36MB / 24 nhân, 24 luồng ), Intel AI",Intel® AI Boost 13 TOPS,"GeForce RTX™ 5070Ti 12GB GDDR7 Intel® Arc™ Graphics ( 1497MHz , 115W","16"" ( 2560 x 1600 ) WQXGA 16:10 , OLED , 240Hz , không cảm ứng , 500 nits , 100% DCI-P3 , Màn hình gương , G-Sync",FHD webcam,32GB Onboard LPDDR5x 7467MHz Hỗ trợ tối đa 64GB ),1TB SSD M.2 NVMe ( 2 x M.2 NVMe ),"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x Thunderbolt 4
1 x SD card slot
Audio combo
1 x HDMI","Wi-Fi 7 (802.11be) , Bluetooth 5.4","Có phím Copilot , không phím số , LED",Windows 11 Home + Office Home & Student 2024 + Microsoft 365 Basic 1 year Free Onedrive,35.4 x 24.6 x 1.49 ~ 1.74 cm,"4 cell 90 Wh , Pin liền",1.9 kg,Khuôn mặt,không đèn,,ASUS ROG Gaming,ROG Zephyrus G16 GU605CR-QR137W,90NR0LZ5-M00710,Xám,Gaming,Dolby Atmos,,,,,,,
Laptop Asus ROG Zephyrus G14 GA403WR-QS103WS,77.990.000₫,Asus,24 tháng,Bảo hành Pin 12 tháng,"AMD Ryzen™ AI 9 HX 370 ( 5.1 GHz / 24MB / 12 nhân, 24 luồng ), AMD AI",AMD Ryzen AI up to 81 TOPs,"GeForce RTX™ 5070Ti 12GB GDDR6 AMD Radeon™ Graphics ( 2270MHz , 120W","14"" ( 2880 x 1800 ) 3K 16:10 , OLED , 120Hz , không cảm ứng , 500 nits , 100% DCI-P3 , Màn hình gương , Adaptive Sync",FHD webcam,32GB Onboard LPDDR5x 8000MHz ( 1 Khe cắm / Hỗ trợ tối đa 32GB ),1TB SSD M.2 NVMe ( 1 x M.2 NVMe ),"2 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x micro SD card slot
Audio combo
1 x HDMI","Wi-Fi 6E (802.11ax) , Bluetooth 5.3","Bàn phím Chiclet với phím Copilot , không phím số , LED",Windows 11 Home,31.1 x 22.0 x 1.59 ~ 1.63 cm,"4 cell 73 Wh , Pin liền",1.5 kg,,không đèn,"- ROG Impact Gaming Mouse
- Adapter
- ROG Zephyrus G14 Sleeve (2024)",ASUS ROG Gaming,ROG Zephyrus G14 GA403WR-QS103WS,90NR0M53-M005C0,Xám,Gaming,Dolby Atmos,,,,,,,
Laptop Asus Vivobook X1404VA-NK394W,9.990.000₫,Asus,24 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i3-1315U ( 1.2 GHz - 4.5GHz / 10MB / 6 nhân, 8 luồng ), Non-EVO",,Onboard graphics Intel® UHD Graphics,"14"" ( 1920 x 1080 ) Full HD 16:9 , TFT , 60Hz , không cảm ứng , 250 nits , 45% NTSC , Màn hình chống lóa",HD webcam,8GB Onboard DDR4 ( 1 Khe cắm / Hỗ trợ tối đa 8GB ),512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C
2 x USB 3.1
1 x USB 2.0
Audio combo
1 x HDMI","Wi-Fi 6E (802.11ax) , Bluetooth 5.3","Bàn phím Chiclet , không phím số , không đèn",Windows 11 Home,32.49 x 21.39 x 1.79 cm,"3 cell 42 Wh , Pin liền",1.4 kg,Vân tay,không đèn,,ASUS Vivobook,Vivobook X1404VA-NK394W,90NB10I2-M00CD0,Bạc,Văn phòng,SonicMaster,Vỏ Plastic,,,,,,
Laptop HP Pavilion 16-af0055TU - AY8C4PA,22.490.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ Ultra 5-125U ( 1.3 GHz - 4.3 GHz / 12MB / 12 nhân, 14 luồng ), Intel AI",,Onboard graphics Intel® Graphics,"16"" ( 1920 x 1200 ) WUXGA IPS , không cảm ứng , Màn hình chống lóa",FHD webcam,16GB Onboard LPDDR5 7467MHz ( 1 Khe cắm / Hỗ trợ tối đa 16GB ),512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"2 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Có phím Copilot , có phím số , LED",Windows 11 Home SL + Office Home & Student 2021,35.77 x 25.48 x 1.79 cm,"3 cell 60 Wh , Pin liền",1.7 kg,,không đèn,,HP Pavilion,Pavilion 16-af0055TU - AY8C4PA,AY8C4PA,Bạc,Văn phòng,,,,,,,,
Laptop HP Pavilion 16-af0053TU - AY8C2PA,26.490.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ Ultra 7-155U ( 1.7 GHz - 4.8 GHz / 12MB / 12 nhân, 14 luồng ), Intel AI",,Onboard graphics 8GB GDDR6 Intel® Graphics,"16"" ( 1920 x 1200 ) WUXGA IPS , không cảm ứng , Màn hình chống lóa",FHD webcam,16GB Onboard LPDDR5 7467MHz ( 1 Khe cắm / Hỗ trợ tối đa 16GB ),512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"2 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
Audio combo
1 x HDMI
LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Có phím Copilot , có phím số , LED",Windows 11 Home SL + Office Home & Student 2021,35.77 x 25.48 x 1.79 cm,"3 cell 60 Wh , Pin liền",1.7 kg,,không đèn,,HP Pavilion,Pavilion 16-af0053TU - AY8C2PA,AY8C2PA,Bạc,Văn phòng,HP Audio Boost,,,,,,,
Laptop HP Victus 16-r0298TX - AE0N5PA,29.490.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i5-13500HX ( 2.5 GHz - 4.7 GHz / 24MB / 14 nhân, 20 luồng ), Non-EVO",,GeForce RTX™ 4060 8GB GDDR6 Intel® UHD Graphics,"16.1"" ( 1920 x 1080 ) Full HD IPS , không cảm ứng , Màn hình chống lóa",FHD webcam,2 x 8GB DDR5 4800MHz ( 2 Khe cắm / Hỗ trợ tối đa 16GB ),512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C / DisplayPort / Power Delivery
3 x USB 3.2
Audio combo
1 x HDMI
LAN 1 Gb/s","Wi-Fi 6E (802.11ax) , Bluetooth 5.3","Bàn phím thường , có phím số , RGB",Windows 11 Home SL,36.9 x 25.94 x 2.29 cm,"4 cell 70 Wh , Pin liền",2.3 kg,,không đèn,,HP Victus,Victus 16-r0298TX - AE0N5PA,AE0N5PA,Đen,Gaming,HP Audio Boost,,,,,,,
Laptop HP 240 G10 - B93GZAT,16.190.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i5-1334U ( 1.3 GHz - 4.6 GHz / 12MB / 10 nhân, 12 luồng ), Non-EVO",,Onboard graphics Intel® Iris® Xe Graphics,"14"" ( 1920 x 1080 ) Full HD IPS , không cảm ứng , 250 nits , 45% NTSC , Màn hình chống lóa",HD webcam,1 x 16GB DDR4 3200MHz ( 2 Khe cắm,512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C
2 x USB 3.2
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím thường , không phím số , không đèn",Windows 11 Home SL,32.4 x 21.5 x 1.79 cm,"3 cell 41 Wh , Pin liền",1.4 kg,,,,HP 240,240 G10 - B93GZAT,B93GZAT,Bạc,Văn phòng,,,,,,,,
Laptop Acer Nitro Lite 16 NL16-71G-71UJ,23.990.000₫,Acer,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i7-13620H ( 2.4 GHz - 4.9 GHz / 24MB / 10 nhân, 16 luồng ), Non-EVO",,GeForce RTX™ 3050 6GB GDDR6 Intel® UHD Graphics,"16"" ( 1920 x 1200 ) WUXGA IPS , 165Hz , không cảm ứng , 300 nits , 45% NTSC , Màn hình chống lóa , Acer ComfyView",FHD webcam,16GB (8GB + 8GB Onboard) DDR5 5600MHz ( 1 Khe cắm / Hỗ trợ tối đa 56GB ),512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"2 x USB 3.2
1 x Thunderbolt 4
Audio combo
1 x HDMI
LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth 5.0","Bàn phím Chiclet với phím Copilot , có phím số , LED",Windows 11 Home SL,362.2 x 248.47 x 22.9 mm,"3 cell 53 Wh , Pin liền",1.9 kg,,không đèn,,Acer Nitro,Nitro Lite 16 NL16-71G-71UJ,NH.D59SV.002,Trắng,Gaming,,Vỏ nhựa,,,,,,
Laptop Acer Aspire Lite 16 G2 AL16-52P-76DU,17.990.000₫,Acer,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i7-1355U ( 1.7 GHz - 5.0 GHz / 12MB / 10 nhân, 12 luồng ), Non-EVO",,Onboard graphics Intel® Iris® Xe Graphics,"16"" ( 1920 x 1200 ) WUXGA IPS , không cảm ứng , 300 nits , Màn hình chống lóa",FHD webcam,1 x 16GB DDR5 4800MHz ( 2 Khe cắm / Hỗ trợ tối đa 64GB ),512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C / DisplayPort / Power Delivery
3 x USB 3.2
1 x micro SD card slot
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím thường , có phím số",Windows 11 Home SL,357.6 x 247 x 18.9 mm,"3 cell 58 Wh , Pin liền",1.7 kg,,không đèn,"Adapter, dây nguồn, HDSD,…",Acer Aspire,Aspire Lite 16 G2 AL16-52P-76DU,NX.J2SSV.005,Bạc,Văn phòng,,,,,,,,
Laptop Acer Aspire 14 AI A14-52M-585Y,24.990.000₫,Acer,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ Ultra 5-226V ( 2.1 GHz - 4.5 GHz / 8MB / 8 nhân, 8 luồng ), Intel AI",Intel® AI Boost 40 TOPS,Onboard graphics Intel® Arc™ Graphics 130V,"14"" ( 1920 x 1200 ) WUXGA IPS , 60Hz , không cảm ứng , 100% DCI-P3 , Màn hình chống lóa",FHD webcam,16GB Onboard LPDDR5x 8533MHz ( 1 Khe cắm / Hỗ trợ tối đa 16GB ),1TB SSD M.2 NVMe ( 1 x M.2 NVMe ),"2 x USB 3.2
2 x Thunderbolt 4
Audio combo
1 x HDMI","Wi-Fi 6E (802.11ax) , Bluetooth 5.3","Bàn phím Chiclet với phím Copilot , không phím số , LED",Windows 11 Home SL,362.9 x 237.5 x 17.99 mm,"50 Wh , Pin liền",1.37 kg,,không đèn,,Acer Aspire,Aspire 14 AI A14-52M-585Y,NX.J8LSV.003,Xám,Văn phòng,Acer Purified Voice; Acer TrueHarmony,"A,D: Nhôm B,C: Plastic",,,,,,
Laptop Acer Aspire 14 AI A14-52M-71YQ,27.990.000₫,Acer,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ Ultra 7-256V ( 3.7 GHz - 4.8 GHz / 12MB / 8 nhân, 8 luồng ), Intel AI",Intel® AI Boost 40 TOPS,Onboard graphics Intel® Arc™ Graphics 130V,"14"" ( 1920 x 1200 ) WUXGA IPS , 60Hz , không cảm ứng , 100% DCI-P3 , Màn hình chống lóa",FHD webcam,16GB Onboard LPDDR5x 8533MHz ( 1 Khe cắm / Hỗ trợ tối đa 16GB ),1TB SSD M.2 NVMe ( 1 x M.2 NVMe ),"2 x USB 3.2
2 x Thunderbolt 4
Audio combo
1 x HDMI","Wi-Fi 6E (802.11ax) , Bluetooth 5.3","Bàn phím Chiclet với phím Copilot , không phím số , LED",Windows 11 Home SL,362.9 x 237.5 x 17.99 mm,"50 Wh , Pin liền",1.37 kg,,không đèn,,Acer Aspire,Aspire 14 AI A14-52M-71YQ,NX.J8LSV.002,Xám,Văn phòng,Acer Purified Voice; Acer TrueHarmony,"A,D: Nhôm B,C: Plastic",,,,,,
Laptop Lenovo LOQ 15IRX9 - 83DV013PVN,21.490.000₫,Lenovo,36 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i5-13450HX ( 2.4 GHz - 4.6 GHz / 20MB / 10 nhân, 16 luồng ), Non-EVO",,"GeForce RTX™ 3050 6GB GDDR6 Intel® UHD Graphics 710 ( 2370 MHz , 105W , 194 AI TOPs )","15.6"" ( 1920 x 1080 ) Full HD IPS , 144Hz , không cảm ứng , 300 nits , 100% sRGB , Màn hình chống lóa",FHD webcam,1 x 12GB DDR5 4800MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),512GB SSD M.2 NVMe ( 2 x M.2 2280 ),"1 x USB Type C / DisplayPort / Power Delivery
3 x USB 3.2
Audio combo
1 x HDMI
LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth 5.1","Bàn phím thường , có phím số , LED",Windows 11 Home SL,36 x 26.3 x 3 cm,"4 cell 60 Wh , Pin liền",2.4 kg,,không đèn,Adapter,Lenovo LOQ,LOQ 15IRX9 - 83DV013PVN,83DV013PVN,Xám,Gaming,Nahimic Audio,Vỏ nhựa,,,,,,
Laptop Gigabyte AORUS 16X ASG-53VNC94SH,39.990.000₫,Gigabyte,24 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i7-14650HX ( 2.2 GHz - 5.2 GHz / 30MB / 16 nhân, 24 luồng ), Non-EVO",,"GeForce RTX™ 4070 8GB GDDR6 Intel® Graphics ( 2175MHz , 140W","16"" ( 2560 x 1600 ) WQXGA 16:10 , IPS , 165Hz , không cảm ứng",FHD webcam,1 x 16GB DDR5 5600MHz ( 2 Khe cắm / Hỗ trợ tối đa 64GB ),1TB SSD M.2 NVMe ( 2 x M.2 2280 ),"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x Thunderbolt 4
1 x SD card slot
Audio combo
1 x HDMI
LAN 1 Gb/s","Wi-Fi 7 (802.11be) , Bluetooth 5.4","Bàn phím thường , không phím số , LED",Windows 11 Home SL,35.60 x 25.40 x (2.00 ~ 2.70) cm,"4 cell 99 Wh , Pin liền",2.3 kg,,LED,"240W Adapter, dây nguồn",Gigabyte Aorus,AORUS 16X ASG-53VNC94SH,9RX6LASGDDJKXDVN010,Đen,Gaming,Dolby Atmos,,,,,,,
Laptop Gigabyte G6 KF-H3VN853KH,26.690.000₫,Gigabyte,24 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i7-13620H ( 2.4 GHz - 4.9GHz / 24MB / 10 nhân, 16 luồng ), Non-EVO",,"GeForce RTX™ 4060 8GB GDDR6 Intel® Graphics ( 2010MHz , 75W","16"" ( 1920 x 1200 ) WUXGA 16:10 , IPS , 165Hz , không cảm ứng",HD webcam,2 x 8GB DDR5 4800MHz ( 2 Khe cắm / Hỗ trợ tối đa 64GB ),512GB SSD M.2 NVMe ( 2 x M.2 2280 ),"2 x USB Type C
1 x USB 3.2
1 x USB 2.0
1 x micro SD card slot
Audio combo
1 x HDMI
1 x mini DisplayPort
LAN 1 Gb/s","Wi-Fi 6E (802.11ax) , Bluetooth 5.2","Bàn phím thường , có phím số , RGB",Windows 11 Home SL,35.95 x 26.38 x (2.51 ~ 2.60) cm,"4 cell 54 Wh , Pin liền",2.3 kg,,không đèn,,Gigabyte G Series,G6 KF-H3VN853KH,9RC56KF0HJIIXIVN000,Đen,Gaming,,,,,,,,
Laptop Gigabyte G6 MF-H2VN854KH,25.690.000₫,Gigabyte,24 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i7-13620H ( 2.4 GHz - 4.9GHz / 24MB / 10 nhân, 16 luồng ), Non-EVO",,"GeForce RTX™ 4050 6GB GDDR6 Intel® Graphics ( 2130MHz , 75W","16"" ( 1920 x 1200 ) WUXGA 16:10 , IPS , 165Hz , không cảm ứng",HD webcam,2 x 8GB DDR5 4800MHz ( 2 Khe cắm / Hỗ trợ tối đa 64GB ),1TB SSD M.2 NVMe ( 2 x M.2 2280 ),"2 x USB Type C
1 x USB 3.2
1 x USB 2.0
1 x micro SD card slot
Audio combo
1 x HDMI
1 x mini DisplayPort
LAN 1 Gb/s","Wi-Fi 6E (802.11ax) , Bluetooth 5.2","Bàn phím thường , có phím số , RGB",Windows 11 Home SL,35.95 x 26.38 x (2.51 ~ 2.60) cm,"4 cell 54 Wh , Pin liền",2.3 kg,,không đèn,,Gigabyte G Series,G6 MF-H2VN854KH,9RC56MF0HJJIXIVN000,Đen,Gaming,Dolby Atmos,,,,,,,
Laptop Lenovo LOQ 15ARP9 - 83JC00HXVN,20.990.000₫,Lenovo,24 tháng,Bảo hành Pin 12 tháng,"AMD Ryzen™ 5 7235HS ( 3.2 GHz - 4.2 GHz / 16MB / 6 nhân, 12 luồng ), AMD AI",,"GeForce RTX™ 3050 6GB GDDR6 AMD Radeon 660M ( 1732MHz , 95W","15.6"" ( 1920 x 1080 ) Full HD IPS , 144Hz , không cảm ứng , 300 nits , 100% sRGB , Màn hình chống lóa , G-Sync",HD webcam,1 x 12GB DDR5 4800MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),512GB SSD M.2 NVMe ( 2 x M.2 2280 ),"1 x USB Type C / DisplayPort / Power Delivery
3 x USB 3.2
Audio combo
1 x HDMI
LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Có phím Copilot , có phím số , LED","Windows 11 Home SL, English",359.86 x 258.7 x 21.9-23.9 mm,"60 Wh , Pin liền",2.4 kg,"- TPM 2.0, E-shutter",không đèn,,Lenovo LOQ,LOQ 15ARP9 - 83JC00HXVN,83JC00HXVN,Xám,Gaming,Nahimic Audio,Vỏ nhựa,,,,,,
Laptop Acer Aspire 7 A715-59G-57TU,20.490.000₫,Acer,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i5-12450H ( 2.0 GHz - 4.4GHz / 12MB / 8 nhân, 12 luồng ), Non-EVO",,GeForce RTX™ 3050 6GB GDDR6 Intel® UHD Graphics,"15.6"" ( 1920 x 1080 ) Full HD IPS , 144Hz , không cảm ứng , 250 nits , 45% NTSC , Màn hình chống lóa , Acer ComfyView",HD webcam,1 x 16GB DDR4 3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),512GB SSD M.2 NVMe ( 2 x M.2 NVMe ),"2 x USB Type C
1 x USB 3.2
1 x USB 2.0
1 x micro SD card slot
Audio combo
1 x HDMI
1 x mini DisplayPort","WiFi 802.11ax (Wifi 6) , Bluetooth","Bàn phím Chiclet với phím Copilot , có phím số , LED",Windows 11 Home SL,359.5 x 238 x 22.7 mm,"4 cell 54 Wh , Pin liền",2 kg,,không đèn,,Acer Aspire,Aspire 7 A715-59G-57TU,NH.QX6SV.001,Đen,Gaming,,"Vỏ nhựa, nắp lưng kim loại",,,,,,
Laptop Acer Aspire 7 A715-59G-73LB,22.990.000₫,Acer,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i7-12650H ( 2.3 GHz - 4.7 GHz / 24MB / 10 nhân, 16 luồng ), Non-EVO",,GeForce RTX™ 3050 6GB GDDR6 Intel® UHD Graphics,"15.6"" ( 1920 x 1080 ) Full HD IPS , 144Hz , không cảm ứng , 250 nits , 45% NTSC , Màn hình chống lóa , Acer ComfyView",HD webcam,1 x 16GB DDR4 3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),512GB SSD M.2 NVMe ( 2 x M.2 NVMe ),"2 x USB Type C
1 x USB 3.2
1 x USB 2.0
1 x micro SD card slot
Audio combo
1 x HDMI
1 x mini DisplayPort","WiFi 802.11ax (Wifi 6) , Bluetooth","Bàn phím Chiclet với phím Copilot , có phím số , LED",Windows 11 Home SL,359.5 x 238 x 22.7 mm,"4 cell 54 Wh , Pin liền",2 kg,,không đèn,,Acer Aspire,Aspire 7 A715-59G-73LB,NH.QX6SV.002,Đen,Gaming,,"Vỏ nhựa, nắp lưng kim loại",,,,,,
Laptop Acer Nitro Lite 16 NL16-71G-56WQ,21.990.000₫,Acer,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i5-13420H ( 2.1 GHz - 4.6 GHz / 12MB / 8 nhân, 12 luồng ), Non-EVO",,GeForce RTX™ 3050 6GB GDDR6 Intel® UHD Graphics,"16"" ( 1920 x 1200 ) WUXGA IPS , 165Hz , không cảm ứng , 300 nits , 45% NTSC , Màn hình chống lóa , Acer ComfyView",FHD webcam,16GB (8GB + 8GB Onboard) DDR5 4800MHz ( 1 Khe cắm / Hỗ trợ tối đa 56GB ),512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"2 x USB 3.2
1 x Thunderbolt 4
Audio combo
1 x HDMI
LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth 5.0","Bàn phím Chiclet với phím Copilot , có phím số , LED",Windows 11 Home SL,362.2 x 248.47 x 22.9 mm,"3 cell 53 Wh , Pin liền",1.9 kg,,không đèn,,Acer Nitro,Nitro Lite 16 NL16-71G-56WQ,NH.D59SV.001,Trắng,Gaming,,Vỏ nhựa,,,,,,
Laptop Lenovo Yoga Slim 7-14IMH9 - 83CV008EVN,24.990.000₫,Lenovo,24 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ Ultra 5-125H ( 3.6 GHz - 4.5 GHz / 18MB / 14 nhân, 18 luồng ), Intel AI","Intel® AI Boost, up to 11 TOPS",Onboard graphics Intel® Arc™ Graphics,"14"" ( 1920 x 1200 ) WUXGA OLED , 60Hz , không cảm ứng , 400 nits , 100% DCI-P3 , Màn hình gương",FHD webcam,16GB Onbard LPDDR5x 7467MHz ( 1 Khe cắm / Hỗ trợ tối đa 16GB ),1TB SSD M.2 NVMe ( 1 x M.2 2280 ),"1 x USB 3.2
2 x Thunderbolt 4
Audio combo
1 x HDMI","Wi-Fi 6E (802.11ax) , Bluetooth 5.3","Bàn phím thường , không phím số , LED",Windows 11 Home + Office Home & Student 2024 + Microsoft 365 Basic 1 year Free Onedrive,312 x 221 x 14.9 mm,"65 Wh , Pin liền",1.4 kg,,không đèn,,Lenovo Yoga,Yoga Slim 7-14IMH9 - 83CV008EVN,83CV008EVN,Xám,Văn phòng,Dolby Atmos,Vỏ nhôm,,,,,,
Laptop Lenovo Yoga Slim 9-14ILL10 - 83CX001AVN,54.990.000₫,Lenovo,24 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ Ultra 7-258V ( 4.6 GHz - 5.4 GHz / 36MB / 24 nhân, 24 luồng ), Copilot+ PC",Intel® AI Boost 47 TOPS,Onboard graphics Intel® Arc™ Graphics 140V,"14"" ( 3840 x 2400 ) WQUXGA OLED , 120Hz , cảm ứng , 600 nits , 100% DCI-P3 , Màn hình gương",FHD webcam,32GB Onbard LPDDR5x 8533MHz ( 1 Khe cắm / Hỗ trợ tối đa 32GB ),1TB SSD M.2 NVMe ( 1 x M.2 2242 ),2 x Thunderbolt 4,"Wi-Fi 7 (802.11be) , Bluetooth 5.4","Có phím Copilot , không phím số , LED",Windows 11 Home + Office Home & Student 2024 + Microsoft 365 Basic 1 year Free Onedrive,312 x 221 x 14.9 mm,"75 Wh , Pin liền",1.2 kg,Vân tay,không đèn,,Lenovo Yoga,Yoga Slim 9-14ILL10 - 83CX001AVN,83CX001AVN,Xanh,Văn phòng,Dolby Atmos,Vỏ nhôm,,,,,,
Laptop Lenovo LOQ 15IRX9 - 83DV012LVN,21.490.000₫,Lenovo,24 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i5-13450HX ( 2.4 GHz - 4.6GHz / 20MB / 10 nhân, 16 luồng ), Non-EVO",,"GeForce RTX™ 3050 6GB GDDR6 Intel® UHD Graphics 710 ( 1732MHz , 95W , 142 AI TOPs )","15.6"" ( 1920 x 1080 ) Full HD IPS , 144Hz , không cảm ứng , 300 nits , 100% sRGB , Màn hình chống lóa , G-Sync",HD webcam,1 x 12GB DDR5 4800MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),512GB SSD M.2 NVMe ( 2 x M.2 2280 ),"1 x USB Type C / DisplayPort / Power Delivery
3 x USB 3.2
Audio combo
1 x HDMI
LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , có phím số , LED","Windows 11 Home SL, English",359.86 x 258.7 x 21.9-23.9 mm,"60 Wh , Pin liền",2.4 kg,,không đèn,,Lenovo LOQ,LOQ 15IRX9 - 83DV012LVN,83DV012LVN,Xám,Gaming,Nahimic Audio,Vỏ Nhựa,,,,,,
Laptop Lenovo Ideapad Slim 5 14AKP10 - 83HX001KVN,22.990.000₫,Lenovo,24 tháng,Bảo hành Pin 12 tháng,"AMD Ryzen™ AI 5 340 ( 2.0 GHz - 4.8 GHz / 8MB / 6 nhân, 12 luồng ), Copilot+ PC",AMD Ryzen™AI up to 50 TOPs,Onboard graphics AMD Radeon™ 840M,"14"" ( 1920 x 1200 ) WUXGA OLED , không cảm ứng , 400 nits , 100% DCI-P3 , Màn hình gương",FHD webcam,2 x 12GB DDR5 4800MHz ( 2 Khe cắm / Hỗ trợ tối đa 24GB ),512GB SSD M.2 NVMe ( 2 x M.2 2242 ),"2 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x micro SD card slot
Audio combo
1 x HDMI","Wi-Fi 7 (802.11be) , Bluetooth 5.4","Có phím Copilot , không phím số , LED","Windows 11 Home SL, English",313.4 x 222 x 16.9 mm,"60 Wh , Pin liền",1.4 kg,,không đèn,,Lenovo IdeaPad,Ideapad Slim 5 14AKP10 - 83HX001KVN,83HX001KVN,Xám,Văn phòng,Dolby Audio,Vỏ nhôm,,,,,,
Laptop Lenovo IdeaPad Slim 3 14IRH10 - 83K00009VN,18.990.000₫,Lenovo,24 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i7-13620H ( 2.4 GHz - 4.9 GHz / 12MB / 10 nhân, 16 luồng ), Non-EVO",,Onboard graphics Intel UHD Graphics,"14"" ( 1920 x 1200 ) WUXGA IPS , 60Hz , không cảm ứng , 300 nits , 45% NTSC , Màn hình chống lóa",HD webcam,24GB (16GB + 8GB Onboard) DDR5 4800MHz ( 1 Khe cắm / Hỗ trợ tối đa 24GB ),512GB SSD M.2 NVMe ( 2 x M.2 2242 ),"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x SD card slot
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , không phím số , không đèn","Windows 11 Home SL, English",314.4 x 222.1 x 16.9-17.9 mm,"60 Wh , Pin liền",1.4 kg,,không đèn,,Lenovo IdeaPad,IdeaPad Slim 3 14IRH10 - 83K00009VN,83K00009VN,Xám,Văn phòng,Dolby Audio,Vỏ nhôm,,,,,,
